Year,Province,"Income, consumption and savings",UOM, VALUE 
2016,Saskatchewan,Miscellaneous goods and services,Dollars,3799
2017,Saskatchewan,Miscellaneous goods and services,Dollars,3999
2018,Saskatchewan,Miscellaneous goods and services,Dollars,4028
2019,Saskatchewan,Miscellaneous goods and services,Dollars,4134
2020,Saskatchewan,Miscellaneous goods and services,Dollars,3813
2010,Saskatchewan,Social transfers in kind (STiK): education,Dollars,7862
2011,Saskatchewan,Social transfers in kind (STiK): education,Dollars,8332
2012,Saskatchewan,Social transfers in kind (STiK): education,Dollars,8467
2013,Saskatchewan,Social transfers in kind (STiK): education,Dollars,8609
2014,Saskatchewan,Social transfers in kind (STiK): education,Dollars,8768
2015,Saskatchewan,Social transfers in kind (STiK): education,Dollars,9168
2016,Saskatchewan,Social transfers in kind (STiK): education,Dollars,9209
2017,Saskatchewan,Social transfers in kind (STiK): education,Dollars,9401
2018,Saskatchewan,Social transfers in kind (STiK): education,Dollars,9278
2019,Saskatchewan,Social transfers in kind (STiK): education,Dollars,9443
2020,Saskatchewan,Social transfers in kind (STiK): education,Dollars,9824
2010,Saskatchewan,Social transfers in kind (STiK): health,Dollars,10455
2011,Saskatchewan,Social transfers in kind (STiK): health,Dollars,10960
2012,Saskatchewan,Social transfers in kind (STiK): health,Dollars,10786
2013,Saskatchewan,Social transfers in kind (STiK): health,Dollars,10878
2014,Saskatchewan,Social transfers in kind (STiK): health,Dollars,11152
2015,Saskatchewan,Social transfers in kind (STiK): health,Dollars,11955
2016,Saskatchewan,Social transfers in kind (STiK): health,Dollars,12052
2017,Saskatchewan,Social transfers in kind (STiK): health,Dollars,12033
2018,Saskatchewan,Social transfers in kind (STiK): health,Dollars,11995
2019,Saskatchewan,Social transfers in kind (STiK): health,Dollars,12089
2020,Saskatchewan,Social transfers in kind (STiK): health,Dollars,12537
2010,Saskatchewan,Social transfers in kind (STiK): other,Dollars,3354
2011,Saskatchewan,Social transfers in kind (STiK): other,Dollars,3417
2012,Saskatchewan,Social transfers in kind (STiK): other,Dollars,3394
2013,Saskatchewan,Social transfers in kind (STiK): other,Dollars,3488
2014,Saskatchewan,Social transfers in kind (STiK): other,Dollars,3463
2015,Saskatchewan,Social transfers in kind (STiK): other,Dollars,3722
2016,Saskatchewan,Social transfers in kind (STiK): other,Dollars,3853
2017,Saskatchewan,Social transfers in kind (STiK): other,Dollars,3964
2018,Saskatchewan,Social transfers in kind (STiK): other,Dollars,4088
2019,Saskatchewan,Social transfers in kind (STiK): other,Dollars,4290
2020,Saskatchewan,Social transfers in kind (STiK): other,Dollars,4255
2010,Alberta,Household disposable income,Dollars," $92,556 "
2011,Alberta,Household disposable income,Dollars," $89,445 "
2012,Alberta,Household disposable income,Dollars," $94,900 "
2013,Alberta,Household disposable income,Dollars," $98,474 "
2014,Alberta,Household disposable income,Dollars," $103,066 "
2015,Alberta,Household disposable income,Dollars," $108,594 "
2016,Alberta,Household disposable income,Dollars," $99,059 "
2017,Alberta,Household disposable income,Dollars," $102,077 "
2018,Alberta,Household disposable income,Dollars," $101,717 "
2019,Alberta,Household disposable income,Dollars," $104,157 "
2020,Alberta,Household disposable income,Dollars," $107,480 "
2010,Alberta,Compensation of employees,Dollars,91013
2011,Alberta,Compensation of employees,Dollars,87954
2012,Alberta,Compensation of employees,Dollars,93229
2013,Alberta,Compensation of employees,Dollars,96807
2014,Alberta,Compensation of employees,Dollars,102033
2015,Alberta,Compensation of employees,Dollars,102451
2016,Alberta,Compensation of employees,Dollars,93883
2017,Alberta,Compensation of employees,Dollars,95280
2018,Alberta,Compensation of employees,Dollars,96247
2019,Alberta,Compensation of employees,Dollars,97864
2020,Alberta,Compensation of employees,Dollars,90711
2010,Alberta,Net mixed income,Dollars,13900
2011,Alberta,Net mixed income,Dollars,13432
2012,Alberta,Net mixed income,Dollars,13600
2013,Alberta,Net mixed income,Dollars,13405
2014,Alberta,Net mixed income,Dollars,13910
2015,Alberta,Net mixed income,Dollars,14684
2016,Alberta,Net mixed income,Dollars,14489
2017,Alberta,Net mixed income,Dollars,14695
2018,Alberta,Net mixed income,Dollars,14495
2019,Alberta,Net mixed income,Dollars,14919
2020,Alberta,Net mixed income,Dollars,14808
2010,Alberta,Property income received,Dollars,15706
2011,Alberta,Property income received,Dollars,15178
2012,Alberta,Property income received,Dollars,16081
2013,Alberta,Property income received,Dollars,17032
2014,Alberta,Property income received,Dollars,17840
2015,Alberta,Property income received,Dollars,21608
2016,Alberta,Property income received,Dollars,16291
2017,Alberta,Property income received,Dollars,16965
2018,Alberta,Property income received,Dollars,16684
2019,Alberta,Property income received,Dollars,16962
2020,Alberta,Property income received,Dollars,16038
2010,Alberta,Less: property income paid,Dollars,5266
2011,Alberta,Less: property income paid,Dollars,5089
2012,Alberta,Less: property income paid,Dollars,4884
2013,Alberta,Less: property income paid,Dollars,4725
2014,Alberta,Less: property income paid,Dollars,4917
2015,Alberta,Less: property income paid,Dollars,4932
2016,Alberta,Less: property income paid,Dollars,4860
2017,Alberta,Less: property income paid,Dollars,4933
2018,Alberta,Less: property income paid,Dollars,5439
2019,Alberta,Less: property income paid,Dollars,5994
2020,Alberta,Less: property income paid,Dollars,5226
2010,Alberta,Current transfers received,Dollars,15793
2011,Alberta,Current transfers received,Dollars,15262
2012,Alberta,Current transfers received,Dollars,15924
2013,Alberta,Current transfers received,Dollars,16708
2014,Alberta,Current transfers received,Dollars,17316
2015,Alberta,Current transfers received,Dollars,19528
2016,Alberta,Current transfers received,Dollars,21834
2017,Alberta,Current transfers received,Dollars,22373
2018,Alberta,Current transfers received,Dollars,23025
2019,Alberta,Current transfers received,Dollars,23852
2020,Alberta,Current transfers received,Dollars,33602
2010,Alberta,Less: current transfers paid,Dollars,38589
2011,Alberta,Less: current transfers paid,Dollars,37292
2012,Alberta,Less: current transfers paid,Dollars,39050
2013,Alberta,Less: current transfers paid,Dollars,40754
2014,Alberta,Less: current transfers paid,Dollars,43115
2015,Alberta,Less: current transfers paid,Dollars,44745
2016,Alberta,Less: current transfers paid,Dollars,42577
2017,Alberta,Less: current transfers paid,Dollars,42303
2018,Alberta,Less: current transfers paid,Dollars,43294
2019,Alberta,Less: current transfers paid,Dollars,43444
2020,Alberta,Less: current transfers paid,Dollars,42453
2010,Alberta,Social transfers in kind (STiK): education,Dollars,7403
2011,Alberta,Social transfers in kind (STiK): education,Dollars,7641
2012,Alberta,Social transfers in kind (STiK): education,Dollars,7645
2013,Alberta,Social transfers in kind (STiK): education,Dollars,7478
2014,Alberta,Social transfers in kind (STiK): education,Dollars,7810
2015,Alberta,Social transfers in kind (STiK): education,Dollars,8107
2016,Alberta,Social transfers in kind (STiK): education,Dollars,8375
2017,Alberta,Social transfers in kind (STiK): education,Dollars,8383
2018,Alberta,Social transfers in kind (STiK): education,Dollars,8359
2019,Alberta,Social transfers in kind (STiK): education,Dollars,8398
2020,Alberta,Social transfers in kind (STiK): education,Dollars,8324
2010,Alberta,Social transfers in kind (STiK): health,Dollars,9289
2011,Alberta,Social transfers in kind (STiK): health,Dollars,9644
2012,Alberta,Social transfers in kind (STiK): health,Dollars,9873
2013,Alberta,Social transfers in kind (STiK): health,Dollars,9996
2014,Alberta,Social transfers in kind (STiK): health,Dollars,10573
2015,Alberta,Social transfers in kind (STiK): health,Dollars,11060
2016,Alberta,Social transfers in kind (STiK): health,Dollars,11461
2017,Alberta,Social transfers in kind (STiK): health,Dollars,11461
2018,Alberta,Social transfers in kind (STiK): health,Dollars,11624
2019,Alberta,Social transfers in kind (STiK): health,Dollars,12168
2020,Alberta,Social transfers in kind (STiK): health,Dollars,12168
2010,Alberta,Social transfers in kind (STiK): other,Dollars,3942
2011,Alberta,Social transfers in kind (STiK): other,Dollars,3975
2012,Alberta,Social transfers in kind (STiK): other,Dollars,3970
2013,Alberta,Social transfers in kind (STiK): other,Dollars,3817
2014,Alberta,Social transfers in kind (STiK): other,Dollars,3924
2015,Alberta,Social transfers in kind (STiK): other,Dollars,4121
2016,Alberta,Social transfers in kind (STiK): other,Dollars,4434
2017,Alberta,Social transfers in kind (STiK): other,Dollars,4570
2018,Alberta,Social transfers in kind (STiK): other,Dollars,4698
2019,Alberta,Social transfers in kind (STiK): other,Dollars,4810
2020,Alberta,Social transfers in kind (STiK): other,Dollars,4677
2010,Alberta,Food and non-alcoholic beverages,Dollars,7384
2011,Alberta,Food and non-alcoholic beverages,Dollars,7136
2012,Alberta,Food and non-alcoholic beverages,Dollars,7264
2013,Alberta,Food and non-alcoholic beverages,Dollars,7511
2014,Alberta,Food and non-alcoholic beverages,Dollars,7919
2015,Alberta,Food and non-alcoholic beverages,Dollars,8104
2016,Alberta,Food and non-alcoholic beverages,Dollars,8134
2017,Alberta,Food and non-alcoholic beverages,Dollars,8328
2018,Alberta,Food and non-alcoholic beverages,Dollars,8263
2019,Alberta,Food and non-alcoholic beverages,Dollars,8363
2020,Alberta,Food and non-alcoholic beverages,Dollars,9177
2010,Alberta,Alcoholic beverages and tobacco,Dollars,3380
2011,Alberta,Alcoholic beverages and tobacco,Dollars,3266
2012,Alberta,Alcoholic beverages and tobacco,Dollars,3319
2013,Alberta,Alcoholic beverages and tobacco,Dollars,3335
2014,Alberta,Alcoholic beverages and tobacco,Dollars,3476
2015,Alberta,Alcoholic beverages and tobacco,Dollars,3703
2016,Alberta,Alcoholic beverages and tobacco,Dollars,3779
2017,Alberta,Alcoholic beverages and tobacco,Dollars,3699
2018,Alberta,Alcoholic beverages and tobacco,Dollars,3815
2019,Alberta,Alcoholic beverages and tobacco,Dollars,3720
2020,Alberta,Alcoholic beverages and tobacco,Dollars,3855
2010,Alberta,Clothing and footwear,Dollars,3734
2011,Alberta,Clothing and footwear,Dollars,3608
2012,Alberta,Clothing and footwear,Dollars,3751
2013,Alberta,Clothing and footwear,Dollars,3781
2014,Alberta,Clothing and footwear,Dollars,3956
2015,Alberta,Clothing and footwear,Dollars,3971
2016,Alberta,Clothing and footwear,Dollars,3888
2017,Alberta,Clothing and footwear,Dollars,3878
2018,Alberta,Clothing and footwear,Dollars,4678
2019,Alberta,Clothing and footwear,Dollars,4650
2020,Alberta,Clothing and footwear,Dollars,3696
2010,Alberta,"Housing, water, electricity, gas and other fuels",Dollars,19912
2011,Alberta,"Housing, water, electricity, gas and other fuels",Dollars,19242
2012,Alberta,"Housing, water, electricity, gas and other fuels",Dollars,19577
2013,Alberta,"Housing, water, electricity, gas and other fuels",Dollars,20265
2014,Alberta,"Housing, water, electricity, gas and other fuels",Dollars,21468
2015,Alberta,"Housing, water, electricity, gas and other fuels",Dollars,22635
2016,Alberta,"Housing, water, electricity, gas and other fuels",Dollars,23337
2017,Alberta,"Housing, water, electricity, gas and other fuels",Dollars,23803
2018,Alberta,"Housing, water, electricity, gas and other fuels",Dollars,22170
2019,Alberta,"Housing, water, electricity, gas and other fuels",Dollars,22712
2020,Alberta,"Housing, water, electricity, gas and other fuels",Dollars,23590
2010,Alberta,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4733
2011,Alberta,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4574
2012,Alberta,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4681
2013,Alberta,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4789
2014,Alberta,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,5008
2015,Alberta,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,5108
2016,Alberta,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,5114
2017,Alberta,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,5124
2018,Alberta,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,5847
2019,Alberta,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,5896
2020,Alberta,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,6271
2010,Alberta,Health,Dollars,3490
2011,Alberta,Health,Dollars,3373
2012,Alberta,Health,Dollars,3436
2013,Alberta,Health,Dollars,3508
2014,Alberta,Health,Dollars,3644
2015,Alberta,Health,Dollars,3874
2016,Alberta,Health,Dollars,4111
2017,Alberta,Health,Dollars,4211
2018,Alberta,Health,Dollars,3968
2019,Alberta,Health,Dollars,3984
2020,Alberta,Health,Dollars,3561
2010,Alberta,Transport,Dollars,13205
2011,Alberta,Transport,Dollars,12762
2012,Alberta,Transport,Dollars,13590
2013,Alberta,Transport,Dollars,14490
2014,Alberta,Transport,Dollars,15348
2015,Alberta,Transport,Dollars,14132
2016,Alberta,Transport,Dollars,13526
2017,Alberta,Transport,Dollars,14391
2018,Alberta,Transport,Dollars,15293
2019,Alberta,Transport,Dollars,15018
2020,Alberta,Transport,Dollars,11683
2010,Alberta,Communications,Dollars,2203
2011,Alberta,Communications,Dollars,2129
2012,Alberta,Communications,Dollars,2157
2013,Alberta,Communications,Dollars,2225
2014,Alberta,Communications,Dollars,2313
2015,Alberta,Communications,Dollars,2451
2016,Alberta,Communications,Dollars,2540
2017,Alberta,Communications,Dollars,2688
2018,Alberta,Communications,Dollars,2537
2019,Alberta,Communications,Dollars,2554
2020,Alberta,Communications,Dollars,2531
2010,Alberta,Recreation and culture,Dollars,8622
2011,Alberta,Recreation and culture,Dollars,8333
2012,Alberta,Recreation and culture,Dollars,8517
2013,Alberta,Recreation and culture,Dollars,8543
2014,Alberta,Recreation and culture,Dollars,8774
